,lname,fname,party,state,anti_abortion,pro_abortion_rights,candidate_committees,democratic_candidate_committees,democratic_leadership_pac,democratic,environment,foreign_defense_policy,gun_control,gun_rights,human_rights,leadership_pacs,lgbtqia_rights,pro_israel,republican_candidate_committees,republican_leadership_pac,republican,womens_issues,in_office,total_donations,votes
154,Masto,Catherine Cortez,D,NV,0,97830,50043,50043,474700,935370,142501,13200,16906,0,197826,506200,11839,352587,0,0,0,1207948,1,4056994,481659.0
155,Matthews,Krystle,D,SC,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,200,455066.0
156,McCloskey,Mark,R,MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3495,0,0,3495,
157,McConnell,Mitch,R,KY,0,0,0,0,0,0,5800,0,0,1175,2113,7500,0,0,0,0,-19940,0,1,-3351,
158,McCormick,Dave,R,PA,0,0,-900,0,0,0,0,0,0,0,0,57500,0,0,-900,40000,-49783,0,0,45917,
159,McCrory,Pat,R,NC,0,0,1000,0,0,0,0,0,0,0,2900,5000,0,12202,1000,5000,57133,0,0,84235,
160,McDaniel,Chris,R,MS,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,1000,
161,McDermott,Tom,D,IN,0,0,2000,2000,0,0,3850,0,0,0,0,0,0,0,0,0,0,0,0,7850,704480.0
162,McDonald,Reece Wright,D,PA,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,20000,
163,McGinty,Katie,D,PA,0,0,-2000,-2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4000,
164,McGuire,Mick,R,AZ,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,5000,90874,0,0,102874,
165,McMullin,Evan,I,UT,0,605,2000,2000,0,368763,10325,2263,0,0,2935,0,0,0,0,0,0,0,0,388891,272477.0
166,Menendez,Robert,D,NJ,0,0,1728,1728,65500,500,5125,24200,0,0,54300,70500,0,109800,0,0,0,0,1,333382,
167,Merkley,Jeff,D,OR,0,0,500,500,0,0,360,0,0,0,0,0,0,2000,0,0,0,0,1,3361,
168,Mermel,Myers,R,VT,0,0,0,0,0,0,0,0,0,0,0,-5000,0,0,0,0,0,0,0,-5000,
169,Meuser,Mark,R,CA,0,0,100,0,0,0,0,0,0,0,0,5000,0,0,100,0,135045,0,0,140245,2213091.0
170,Mici,Aleksander,R,NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1455,0,0,1455,
171,Mixon,Luke,D,LA,0,0,0,0,0,11231,275,8411,0,0,625,2500,0,0,0,0,0,0,0,23042,
172,Mooney,Alexander X,R,WV,2500,0,0,0,0,0,0,0,0,0,0,4500,0,0,0,4500,12350,0,0,23850,
173,Moran,Jerry,R,KS,0,0,8500,1000,0,0,0,0,0,15969,16600,274143,0,195460,7500,233843,60800,0,1,813816,602976.0
174,Moreno,Bernie,R,OH,0,0,0,0,0,0,0,0,0,0,0,7500,0,1000,0,7500,228108,0,0,244108,
175,Morgan,Jan,R,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46999,0,0,46999,
176,Morrisey,Patrick,R,WV,0,0,-1000,0,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,-2000,
177,Morse,Chuck,R,NH,5000,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,9900,0,0,17400,
178,Mullin,Markwayne,R,OK,0,0,36800,0,0,0,0,0,0,20853,48750,189600,0,91000,36800,165800,57740,0,1,647344,709169.0
179,Murkowski,Lisa,R,AK,0,0,8000,3000,35000,5450,41612,6750,0,11871,54984,416933,0,173693,5000,352500,70652,35200,1,1220646,135972.0
180,Murphy,Christopher S,D,CT,0,0,4000,4000,15000,1015,685,0,603,0,0,15000,0,2400,0,0,0,0,1,42704,
181,Murray,Patty,D,WA,0,92434,22500,22500,341500,552005,70019,7475,48860,0,167549,353500,32702,184700,0,0,0,545173,1,2440918,980199.0
182,Nelson,Tom,D,WI,0,0,2500,2500,0,14626,2500,0,0,0,0,0,0,0,0,0,0,0,0,22126,
183,Newton,Rett,D,NC,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,500,
184,Nolan,Christina,R,VT,0,0,0,0,0,0,2900,0,0,0,1500,26000,1500,0,0,26000,-12000,5000,0,50900,
185,O'Dea,Joe,R,CO,0,0,5171,0,0,0,0,14532,0,16650,0,194500,0,24492,5171,165000,138586,0,0,564102,1031693.0
186,Olikara,Steven,D,WI,0,0,0,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,0,0,1250,
187,Oliver,Chase,L,GA,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,
188,Olson,Justin,R,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15700,0,0,15700,
189,Orts,Eric,D,PA,0,0,-2000,-2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4000,
190,Ossoff,Jon,D,GA,0,2289,4000,4000,6800,-134251,-3852,1000,0,0,-3777,7600,-3178,2975,0,0,0,21140,1,-95253,
191,Oz,Mehmet,R,PA,5650,0,21000,0,0,127400,0,0,0,14433,11284,306400,0,121535,21000,262400,253540,0,0,1144642,2460602.0
192,Padilla,Alex,D,CA,0,20975,47500,47500,454300,323695,24455,5800,30700,0,193394,469200,42612,30850,0,0,0,2000,1,1692982,3202616.0
193,Parnell,Sean,R,PA,0,0,0,0,0,0,0,2450,0,0,0,8500,0,0,0,7500,51689,0,0,70139,
194,Paul,Rand,R,KY,0,0,7000,0,0,0,0,0,0,210938,84861,292300,0,0,7000,260000,2080527,0,1,2942627,910397.0
195,Perdue,David,R,GA,0,0,3500,0,0,0,0,0,0,-12114,0,-54125,0,0,3500,-54125,-545944,0,0,-659308,
196,Perkins,Jo Rae,R,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9790,0,0,9790,554413.0
197,Peters,Gary,D,MI,0,0,4000,4000,0,81474,353,0,0,0,10006,0,0,0,0,0,0,0,1,99834,
198,Pinion,Joseph III,R,NY,0,0,2000,0,0,0,0,0,0,0,0,12500,0,0,2000,12500,21655,0,0,50655,2441975.0
199,Piton," Robert ""Bobby"" ",R,IL,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,2400,
200,Portman,Rob,R,OH,0,0,-1000,0,0,0,-5400,0,0,0,0,-60000,0,0,-1000,-60000,-30750,0,1,-158149,
201,Pruitt,Scott,R,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5800,0,0,5800,
202,Redpath,Bill,L,IL,0,0,250,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,500,
203,Reed,Jack,D,RI,0,0,250,250,0,0,500,0,0,0,0,0,0,0,0,0,0,0,1,1001,
204,Risch,James E,R,ID,0,0,1000,0,0,0,0,5000,0,0,0,16000,0,0,1000,15000,2674,0,1,40675,
